%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1317213368515815019,0,1317213368515815019,imu_link,-0.00740816115266,0.00768570126059,-0.0476237155923,0.998808305361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000350697049516,0.000666489771631,-9.53595618085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00428465694956,0.0018603640839,9.80753057616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213368625854015,0,1317213368625854015,imu_link,-0.00742721762852,0.00767792536407,-0.0476011692629,0.998809298407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000199953509713,0.000250248038037,0.000184470651712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000962396441642,-0.00373602876452,9.81007328175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213368725992918,0,1317213368725992918,imu_link,-0.00741065157231,0.00766623675379,-0.0476158716935,0.998808810444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90026469758e-05,-0.000170508903558,-0.000277263820284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00701662673909,0.00129329186678,9.80761926902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213368825829029,0,1317213368825829029,imu_link,-0.00742279476801,0.00768338797254,-0.0476226296994,0.998808266289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001819266004,0.000107970519278,-0.000655328702743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00108760442069,-0.000418105632043,9.81315647346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213368935868024,0,1317213368935868024,imu_link,-0.00741183313664,0.007683792514,-0.0476132174224,0.998808793308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000358679437996,0.000269487848897,-0.000519116014942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000461166538473,-0.00326507843689,9.81169450183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369035866022,0,1317213369035866022,imu_link,-0.00741163667681,0.00768207655499,-0.0476511883424,0.998806997168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000202498079084,-0.00010454961775,-0.000771540525797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000777165874713,-0.002645577603,9.80626366533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369136034011,0,1317213369136034011,imu_link,-0.00743988659484,0.00769316967204,-0.04761692854,0.99880833564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000630039549732,9.32709044183e-05,-0.000380400896707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390867275438,0.00279204232699,9.80491761874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369245871067,0,1317213369245871067,imu_link,-0.0074162360788,0.0077437907197,-0.0475772188085,0.998810012664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000165495834672,0.00113443561685,7.78853917078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00381477852471,-0.0020878407245,9.80930196167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369345864057,0,1317213369345864057,imu_link,-0.00740715833769,0.00771715927991,-0.0475555370971,0.998811318693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000562220564854,-5.45125485627e-05,0.0004571321944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000624720589026,-0.00499473146571,9.80696029627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369455914020,0,1317213369455914020,imu_link,-0.00743111206836,0.00771882229009,-0.0476222682518,0.998807948468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000380147967296,6.47542515282e-05,-0.00137112965066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00687506262722,0.00229172997001,9.80820082451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369555952072,0,1317213369555952072,imu_link,-0.0074082613038,0.00772811968347,-0.0476063758196,0.998808803932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031846316213,0.000228815189809,-0.000553083588789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00178129392733,-0.00188548940056,9.80714636926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369656092882,0,1317213369656092882,imu_link,-0.00740473677296,0.00775376592515,-0.04757871706,0.998809949225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000421600112326,0.000745002796796,-7.35507951794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387748049977,-0.00117523118634,9.81215308207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369765954017,0,1317213369765954017,imu_link,-0.00742861990816,0.00774495912314,-0.0475871060381,0.998809440561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018066025449,0.000227975851248,-4.35378536799e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00415963660099,-0.00169916029323,9.8123711893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369865955114,0,1317213369865955114,imu_link,-0.00743341837365,0.00775923012318,-0.0475904453414,0.998809134996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000105702011146,0.000515044886734,-0.000562740798654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00670020761003,0.00598915241263,9.80654499125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213369965965032,0,1317213369965965032,imu_link,-0.0074321435633,0.00775703850087,-0.047573992896,0.998809945283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025461528277,0.000272802678428,-0.000201357810924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00173821802997,-0.00211624855259,9.81186773292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370076222896,0,1317213370076222896,imu_link,-0.0074507897898,0.00774391157041,-0.0475739674208,0.998809909437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003876349583,-0.000301252767372,-0.000203341263858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00278351536838,-0.00320335775566,9.80906546864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370175998926,0,1317213370175998926,imu_link,-0.00743011913022,0.00776271319286,-0.0476079192976,0.998808299742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000145628833347,0.000299103282952,-0.000949399099673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00706829010654,0.000769617579719,9.80938780843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370276006937,0,1317213370276006937,imu_link,-0.0074518829946,0.00776155286141,-0.0475827984835,0.998809343682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000504853104744,-1.80858401345e-05,0.000117338181209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00586115933639,-0.00153505168321,9.80633337185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370385997056,0,1317213370385997056,imu_link,-0.00744093662843,0.00775333976916,-0.0475594767907,0.99881059984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000211618307436,-0.000382383330727,0.000226635943355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00288437213757,-0.00224989993851,9.80898808532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370486027956,0,1317213370486027956,imu_link,-0.00741640486117,0.00778662309723,-0.0475483879557,0.998811051322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000289100164067,0.000726782691396,0.000341569438106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00180753076569,-0.00431363040728,9.80625798638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370596137046,0,1317213370596137046,imu_link,-0.00743046950649,0.00778006151946,-0.0475837977276,0.99880931161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000321881450021,0.000451214343828,-0.000927805907586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00648382213626,0.00258739863335,9.80525040455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370696022033,0,1317213370696022033,imu_link,-0.00742602089685,0.00778221039706,-0.0476297577596,0.998807137335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.55713613159e-05,0.000289566260787,-0.00116475949218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000181083587155,-0.00460565684783,9.80977835528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370796037912,0,1317213370796037912,imu_link,-0.00740474441446,0.00775378274492,-0.0476451379942,0.998806782836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000595747140716,-0.000356017329151,-0.000950502589284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00856602351956,-0.000571596855831,9.81360526992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317213370906023979,0,1317213370906023979,imu_link,-0.0074454225392,0.00776648102715,-0.0476122691527,0.998807949148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000904957587009,-0.000162597298223,0.000230181418554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00184959540993,0.00176956985425,9.8092019628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
